"party","handicapped_infants","water_project_cost_sharing","adoption_of_the_budget_resolution","physician_fee_freeze","el_salvador_aid","religious_groups_in_schools","anti_satellite_test_ban","aid_to_nicaraguan_contras","mx_missile","immigration","synfuels_corporation_cutback","education_spending","superfund_right_to_sue","crime","duty_free_exports","export_administration_act_south_africa"
"republican","y","n","y","y","n","n","n","y","y","y","n","n","n","y","y","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","y","n","absent"
"republican","n","n","n","y","y","y","n","n","n","y","absent","y","y","y","n","y"
"democrat","y","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y"
"democrat","y","n","y","n","y","y","y","n","y","y","n","n","y","y","n","absent"
"democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","n","n","y"
"republican","y","y","n","y","y","y","n","n","n","y","y","n","y","n","n","n"
"republican","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y"
"democrat","n","y","n","n","y","y","n","n","n","y","y","n","y","y","n","n"
"democrat","y","n","y","n","n","n","y","y","n","y","y","n","n","n","n","absent"
"democrat","y","y","y","n","y","y","y","y","n","y","y","n","n","n","y","absent"
"democrat","n","y","y","n","n","y","y","y","n","y","n","n","n","n","y","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
"democrat","y","y","y","n","absent","y","y","y","n","y","absent","absent","n","n","y","y"
"democrat","y","y","y","n","absent","n","y","y","y","y","n","n","n","n","y","absent"
"democrat","n","y","y","y","y","y","n","n","n","n","y","y","absent","y","n","n"
"democrat","n","y","y","absent","y","y","n","y","n","y","absent","n","y","y","absent","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"democrat","n","y","n","y","y","y","n","n","n","n","y","y","n","y","n","n"
"democrat","y","absent","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"republican","n","y","n","y","y","y","absent","absent","n","n","absent","absent","y","absent","absent","absent"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"democrat","y","y","y","n","n","y","absent","y","y","n","y","n","y","n","y","y"
"democrat","y","y","y","n","y","y","y","y","y","y","y","n","y","y","n","absent"
"democrat","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","absent"
"democrat","y","y","y","n","y","y","n","y","y","y","y","n","n","n","n","y"
"democrat","y","y","y","y","y","y","n","n","n","n","y","y","y","y","n","y"
"democrat","y","y","n","n","y","y","n","n","n","n","y","y","y","y","y","n"
"democrat","n","absent","y","n","y","y","n","y","n","n","y","n","n","n","n","absent"
"democrat","y","y","y","n","y","y","n","y","y","n","y","n","n","y","n","absent"
"democrat","n","y","y","y","y","y","n","n","n","n","n","y","y","y","n","absent"
"democrat","y","n","y","n","n","n","y","y","y","absent","y","n","n","n","y","absent"
"democrat","absent","absent","n","n","absent","y","absent","n","n","n","y","y","n","y","n","absent"
"democrat","y","y","n","n","n","n","n","y","y","n","y","n","n","n","y","n"
"republican","y","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"republican","absent","absent","absent","absent","n","y","n","y","y","n","n","y","y","n","n","absent"
"democrat","y","y","absent","absent","absent","y","n","n","n","n","y","n","y","n","n","y"
"democrat","y","y","y","absent","n","n","n","y","n","n","y","absent","n","n","y","y"
"democrat","y","y","y","n","y","y","n","y","n","n","y","n","y","n","y","y"
"democrat","y","y","n","n","y","absent","n","n","n","n","y","n","y","y","n","y"
"democrat","n","y","y","n","y","y","n","y","n","n","n","n","n","n","n","y"
"republican","n","y","n","y","absent","y","n","n","n","y","n","y","y","y","n","n"
"republican","n","y","n","y","y","y","n","absent","n","n","absent","absent","absent","y","n","absent"
"republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n"
"republican","absent","n","y","y","n","y","y","y","y","y","n","y","n","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","absent","y","n","n"
"republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"democrat","y","n","y","n","y","y","n","n","y","y","n","n","y","y","n","y"
"democrat","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
"democrat","y","n","y","n","n","y","y","y","y","n","n","y","absent","y","y","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"republican","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"democrat","y","n","y","n","n","y","y","y","y","y","y","n","n","n","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","y","y","y","y","y","y","y","y","n","y","absent","absent","absent","y","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"democrat","n","y","y","n","n","y","y","y","absent","y","n","n","n","n","n","y"
"republican","y","y","n","y","y","y","n","n","n","y","n","n","y","y","n","y"
"democrat","y","y","y","n","n","n","y","y","y","y","y","n","y","n","n","y"
"democrat","y","y","y","n","n","n","y","y","n","y","n","n","n","n","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"republican","y","y","y","y","y","y","y","y","n","y","n","n","y","y","n","y"
"democrat","n","y","y","n","y","y","y","y","n","n","y","n","y","n","y","y"
"democrat","n","n","y","n","n","y","y","y","y","n","y","n","n","n","y","y"
"democrat","n","y","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
"democrat","n","y","y","n","n","absent","y","y","y","y","y","n","absent","y","y","y"
"democrat","n","n","y","n","n","n","y","y","n","y","y","n","n","n","y","absent"
"democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"republican","n","n","n","y","y","y","y","y","n","y","n","y","y","y","n","y"
"democrat","absent","absent","absent","n","n","n","y","y","y","y","n","n","y","n","y","y"
"democrat","y","n","y","n","absent","n","y","y","y","y","n","y","n","absent","y","y"
"republican","n","n","y","y","y","y","n","n","y","y","n","y","y","y","n","y"
"democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"republican","n","absent","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"republican","n","n","n","y","y","y","absent","absent","absent","absent","n","y","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","absent","n"
